site_no,baseflowTrend
01095220,positive
01095375,positive
01095434,none
01104370,none
01104415,negative
01104420,none
01104430,positive
01104455,positive
01104460,none
01104475,positive
01104480,positive
01115098,positive
01115110,none
01115114,none
01115170,positive
01115183,none
01115187,none
01115190,none
01115265,none
01115276,none
01115280,none
01388000,positive
01400500,none
01408000,none
01408029,positive
01427510,none
01433500,none
01463500,positive
01468500,none
01474500,none
01480617,positive
01480870,positive
01481000,positive
01481500,positive
01484525,positive
01516350,none
01518700,none
01540500,none
01544500,none
01549700,none
01571820,none
01573695,none
01573710,none
01581752,none
01595800,negative
01608500,none
01611500,none
01632900,positive
01645704,positive
01645762,positive
01646000,none
01646305,positive
01649190,positive
01649500,positive
01650800,none
01654500,none
01656903,none
01668000,none
01673000,negative
02035000,none
02042500,negative
03007800,none
03034000,none
03036000,negative
03044000,none
03057000,none
03058000,none
03061000,negative
03067510,none
03072655,negative
03073000,negative
03075070,negative
03079000,negative
03081000,negative
03083500,none
03098600,none
03099500,none
03105500,none
03106000,none
03183500,none
03228300,negative
03254520,none
03254550,none
03262001,none
03277075,none
03292500,negative
03293000,none
03302000,none
03353200,positive
03524000,negative
04024000,none
04026561,positive
04027000,none
04043244,none
04043275,none
04059500,none
04067500,none
040851385,none
040871488,positive
04101500,none
04108660,none
04119400,none
04142000,none
04157005,none
04165500,none
04166500,none
04176500,none
04199500,negative
04200500,none
04208000,none
04213500,positive
04231600,none
04249000,none
05289800,none
06893620,none
06893820,none
06893890,none
06893970,none
06894000,none
07061270,none
07061290,none
